Well,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,A292,Parallel,Perpendicular,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Total F,Polarization,A292 norm
L17,0.1,7.4,No,old,12440,11774,28,12456,11781,28,12499,11841,27,0.266,12447.125,11788.5,0.1,7.4,False,old,24235.6,27.2,-0.006
L19,0.1,7.4,No,old,13017,12305,28,13063,12355,28,13104,12385,28,0.271,13043.45833,12338.16667,0.1,7.4,False,old,25381.6,27.8,-0.001
F13,1,7.4,No,old,14252,13454,29,14212,13436,28,14242,13445,29,0.274,14213.25,13433.79167,1,7.4,False,old,27647,28.2,0.002
F15,1,7.4,No,old,13981,13197,29,13907,13154,28,13953,13174,29,0.278,13924.91667,13163.79167,1,7.4,False,old,27088.7,28.1,0.006
F17,1,7.4,No,old,13622,12876,28,13681,12928,28,13764,13016,28,0.276,13666.91667,12928.79167,1,7.4,False,old,26595.7,27.8,0.004
F19,1,7.4,No,old,13081,12338,29,13053,12343,28,13186,12471,28,0.275,13084.58333,12372.79167,1,7.4,False,old,25457.4,28,0.003
H13,1,7.4,No,old,13672,12907,29,13634,12890,28,13654,12898,28,0.27,13631.25,12887.125,1,7.4,False,old,26518.4,28.1,-0.002
H15,1,7.4,No,old,14056,13271,29,14130,13325,29,14142,13357,29,0.275,14087.25,13306.45833,1,7.4,False,old,27393.7,28.5,0.003
H17,1,7.4,No,old,12974,12285,27,13108,12416,27,13134,12461,26,0.27,13049.91667,12376.125,1,7.4,False,old,25426,26.5,-0.002
H19,1,7.4,No,old,13555,12819,28,13696,12951,28,13694,12963,27,0.283,13626.25,12899.79167,1,7.4,False,old,26526,27.4,0.011
A1,0,4,Yes,methyl,49,34,178,49,36,150,49,37,142,0.341,25.58333333,20.66666667,0,4,True,methyl,46.3,106.3,0.001
A3,0,4,Yes,methyl,48,34,177,49,36,150,48,34,168,0.341,24.91666667,19.66666667,0,4,True,methyl,44.6,117.8,0.001
A5,0,4,Yes,methyl,45,34,146,46,34,147,45,34,136,0.347,21.91666667,19,0,4,True,methyl,40.9,71.3,0.007
A7,0,4,Yes,methyl,45,30,196,45,34,136,44,32,154,0.348,21.25,17,0,4,True,methyl,38.3,111.1,0.008
C1,0,4,Yes,methyl,44,32,154,44,32,154,44,33,144,0.335,20.58333333,17.33333333,0,4,True,methyl,37.9,85.7,-0.005
C3,0,4,Yes,methyl,42,30,162,41,30,151,41,31,140,0.344,17.91666667,15.33333333,0,4,True,methyl,33.3,77.7,0.004
C5,0,4,Yes,methyl,44,31,174,43,31,163,43,31,163,0.342,19.91666667,16,0,4,True,methyl,35.9,109,0.002
C7,0,4,Yes,methyl,45,32,165,44,34,135,44,32,164,0.353,20.91666667,17.66666667,0,4,True,methyl,38.6,84.2,0.013
I1,0.1,4,Yes,methyl,148,88,253,151,91,249,146,87,254,0.332,113.0833333,68.33333333,0.1,4,True,methyl,181.4,246.7,-0.008
I3,0.1,4,Yes,methyl,43,30,174,45,32,165,44,29,206,0.354,8.75,10,0.1,4,True,methyl,18.8,-66.7,0.014
I5,0.1,4,Yes,methyl,46,30,217,46,31,196,47,29,238,0.351,11.08333333,9.666666667,0.1,4,True,methyl,20.8,68.3,0.011
I7,0.1,4,Yes,methyl,49,31,226,48,31,216,46,28,238,0.352,12.41666667,9.666666667,0.1,4,True,methyl,22.1,124.5,0.012
K1,0.1,4,Yes,methyl,52,36,179,54,34,224,53,32,244,0.328,17.75,13.66666667,0.1,4,True,methyl,31.4,130,-0.012
K3,0.1,4,Yes,methyl,50,32,216,49,30,236,48,33,187,0.347,13.75,11.33333333,0.1,4,True,methyl,25.1,96.3,0.007
K5,0.1,4,Yes,methyl,30,18,256,31,18,254,31,17,289,0.127,-4.583333333,-2.666666667,0.1,4,True,methyl,-7.3,264.4,-0.213
K7,0.1,4,Yes,methyl,50,30,256,49,29,257,49,34,178,0.35,14.08333333,10.66666667,0.1,4,True,methyl,24.8,138,0.01
E1,1,4,Yes,methyl,72,47,213,71,44,234,72,45,233,0.325,18.625,17.04166667,1,4,True,methyl,35.7,44.4,-0.015
E3,1,4,Yes,methyl,59,40,190,59,39,198,61,40,206,0.35,6.625,11.375,1,4,True,methyl,18,-263.9,0.01
E5,1,4,Yes,methyl,61,41,191,60,39,206,62,39,230,0.345,7.958333333,11.375,1,4,True,methyl,19.3,-176.7,0.005
E7,1,4,Yes,methyl,78,48,238,79,45,277,79,46,263,0.337,25.625,18.04166667,1,4,True,methyl,43.7,173.7,-0.003
G1,1,4,Yes,methyl,57,36,223,57,37,215,58,37,223,0.342,4.291666667,8.375,1,4,True,methyl,12.7,-322.4,0.002
G3,1,4,Yes,methyl,55,35,224,54,36,206,56,36,215,0.341,1.958333333,7.375,1,4,True,methyl,9.3,-580.4,0.001
G5,1,4,Yes,methyl,48,30,237,63,37,262,61,36,255,0.35,4.291666667,6.041666667,1,4,True,methyl,10.3,-169.4,0.01
G7,1,4,Yes,methyl,81,51,230,80,46,269,81,46,275,0.324,27.625,19.375,1,4,True,methyl,47,175.5,-0.016
A2,0,4,Yes,new,3839,3739,13,3845,3722,16,3800,3684,15,0.342,3804.583333,3700,0,4,True,new,7504.6,13.9,0
A4,0,4,Yes,new,4012,3878,17,4012,3887,16,3997,3868,16,0.354,3983.583333,3862.666667,0,4,True,new,7846.3,15.4,0.012
A6,0,4,Yes,new,3821,3692,17,3839,3708,17,3825,3700,17,0.345,3804.916667,3685,0,4,True,new,7489.9,16,0.003
A8,0,4,Yes,new,3875,3732,19,3878,3740,18,3881,3747,18,0.344,3854.583333,3724.666667,0,4,True,new,7579.3,17.1,0.002
C2,0,4,Yes,new,3568,3469,14,3538,3430,15,3520,3412,16,0.339,3518.583333,3422,0,4,True,new,6940.6,13.9,-0.003
C4,0,4,Yes,new,3768,3651,16,3753,3643,15,3735,3628,15,0.347,3728.583333,3625.666667,0,4,True,new,7354.3,14,0.005
C6,0,4,Yes,new,3724,3605,16,3706,3578,18,3716,3596,16,0.345,3691.916667,3578,0,4,True,new,7269.9,15.7,0.003
C8,0,4,Yes,new,3694,3566,18,3656,3541,16,3657,3537,17,0.333,3645.583333,3533,0,4,True,new,7178.6,15.7,-0.009
I2,0.1,4,Yes,new,3754,3637,16,3724,3612,15,3696,3584,15,0.33,3689.416667,3590.666667,0.1,4,True,new,7280.1,13.6,-0.012
I4,0.1,4,Yes,new,3715,3605,15,3686,3574,15,3675,3560,16,0.332,3656.75,3559.333333,0.1,4,True,new,7216.1,13.5,-0.01
I6,0.1,4,Yes,new,3645,3518,18,3629,3501,18,3602,3489,16,0.349,3590.083333,3482.333333,0.1,4,True,new,7072.4,15.2,0.007
